Doctor_Name,Specialization,Experience,Hospital_Name,City,City_Tier,Patient_Rating(%),Source,Consultation_Fee(₹)
Dr. Parijat Debchoudhury,Cardiologist,23,Medithics,Kolkata,Metro,93.0,Practo,800
Dr. Amit Bhauwala,Cardiologist,16,Manipal Hospitals (AMRI Hospitals),Kolkata,Metro,100.0,Practo,1200
Dr. G. Manohar,Cardiologist,37,MGM Healthcare Malar Hospitals,Chennai,Metro,100.0,Practo,800
Dr. Srichandran L,Cardiologist,23,MGM Healthcare,Chennai,Metro,75.0,Practo,750
Dr. Pradeep Gopinath Nayar,Cardiologist,42,MGM Healthcare Malar Hospitals,Chennai,Metro,100.0,Practo,1000
Dr. Deepak Kumar,Cardiologist,16,Kannapa Memorial Hospital,Chennai,Metro,100.0,Practo,800
Dr. B. Madan Mohan,Cardiologist,33,MGM Healthcare,Chennai,Metro,95.0,Practo,1000
Dr. Jyotirmaya Dash,Cardiologist,28,Sooriya  Hospital ,Chennai,Metro,100.0,Practo,1200
Dr. B Ramamurthy,Cardiologist,40,Billroth Hospitals,Chennai,Metro,86.0,Practo,450
Dr. Narendra Kumar V,Cardiologist,25,Dr. Rela Institute & Medical Centre,Chennai,Metro,98.0,Practo,800
Dr. M Dinakaran,Cardiologist,26,V S Hospitals,Chennai,Metro,100.0,Practo,1000
Dr. Ashok Kumar Aringondam,Cardiologist,16,Dr. Rela Institute & Medical Centre,Chennai,Metro,100.0,Practo,800
Dr. Sanjiv Gupta,Cardiologist,27,Metro Hospital and Cancer Institute,Delhi,Metro,97.0,Practo,1500
Dr. Ramesh Raikar,Cardiologist,34,RLKC Hospital & Metro Heart Institute,Delhi,Metro,100.0,Practo,1200
Dr. Ajay Aggarwal,Cardiologist,25,Yatharth Super Speciality Hospital,Delhi,Metro,83.0,Practo,1500
Dr. Navjeet Singh Ahluwalia,Cardiologist,37,Kalra  Hospitals,Delhi,Metro,33.0,Practo,1000
Dr. Nishant Verma,Cardiologist,20,Cygnus MLS Superspecility Hospital,Delhi,Metro,50.0,Practo,500
Dr. Anunai Srivastava,Cardiologist,21,MGS Super Speciality Hospital,Delhi,Metro,100.0,Practo,1000
Dr. Ajay Dua,Cardiologist,25,Mata Roop Rani Maggo Hospital and IVF Centre,Delhi,Metro,65.0,Practo,1000
Dr. Ankit Kalra,Cardiologist,18,Kalra  Hospitals,Delhi,Metro,95.0,Practo,1000
Dr. Vivek Mittal,Cardiologist,29,Metro Hospital and Cancer Institute,Delhi,Metro,98.0,Practo,1500
Dr. Chander Mohan Mittal,Cardiologist,23,Park Hospital,Delhi,Metro,90.0,Practo,1000
Dr. B V Ashalata,Cardiologist,22,SRV Agadi Hospital,Bangalore,Metro,100.0,Practo,1000
Dr. Sanjay S M,Cardiologist,28,Aster CMI Hospital,Bangalore,Metro,83.0,Practo,1200
Dr. M Sudhakar Rao,Cardiologist,16,Sai Thunga Hospitals,Bangalore,Metro,93.0,Practo,1000
Dr. Ganesh Nallur Shivu,Cardiologist,25,Aster CMI Hospital,Bangalore,Metro,97.0,Practo,1200
Dr. Ameet Oswal,Cardiologist,16,Trustwell Hospitals,Bangalore,Metro,100.0,Practo,800
Dr. Ganesh Krishnan Iyer,Cardiologist,39,Aster CMI Hospital,Bangalore,Metro,97.0,Practo,1200
Dr. Mohan Kumar HN,Cardiologist,22,SPANDANA HEART AND SUPER SPECIALITY HOSPITAL,Bangalore,Metro,100.0,Practo,900
Dr. Arul Furtado,Cardiologist,24,Aster CMI Hospital,Bangalore,Metro,94.0,Practo,1200
Dr. Ramnaresh Soudri,Cardiologist,19,Sai Thunga Hospitals,Bangalore,Metro,95.0,Practo,1500
Dr. Purina Pranesh Deelip,Cardiologist,18,Aum Superspeciality Hospital,Mumbai,Metro,100.0,Practo,1500
Dr. Jaideep M Rajebahadur,Cardiologist,21,SRV Hospitals Goregaon,Mumbai,Metro,95.0,Practo,1500
Dr. Ashish Agrawal,Cardiologist,23,Indigo Hospital,Mumbai,Metro,97.0,Practo,1500
Dr. Rajanikanth C. R.,Cardiologist,36,Surana Sethia Hospital and Research Center,Mumbai,Metro,91.0,Practo,2000
Dr. Ramesh Kawar,Cardiologist,38,Surana Hospital And Research Center,Mumbai,Metro,80.0,Practo,2000
Dr. Anuj Bhasin,Cardiologist,28,Platinum Hospital,Mumbai,Metro,82.0,Practo,2000
Dr. Ravi Gupta,Cardiologist,30,Surana Sethia Hospital and Research Center,Mumbai,Metro,95.0,Practo,2500
Dr. Khemani Hemanth Lalit,Cardiologist,19,Aum Superspeciality Hospital,Mumbai,Metro,95.0,Practo,1000
Dr. Gangurde Pranil Bhalchandra,Cardiologist,18,A1 Superspeciality Healthcare,Mumbai,Metro,95.0,Practo,2000
Dr. Vivek Agarwal,Cardiologist,18,Surana Hospital And Research Center,Mumbai,Metro,95.0,Practo,2000
Dr. Lal Daga,Cardiologist,24,Dr Lal's Heart Center,Ahmedabad,Non-Metro,98.0,Practo,1500
Dr. Jayesh Prajapati,Cardiologist,31,Apollo Hospital,Ahmedabad,Non-Metro,100.0,Practo,1500
Dr. Sameer Dani,Cardiologist,36,Apollo Hospital,Ahmedabad,Non-Metro,100.0,Practo,1100
Dr. Kiran K Prajapati,Cardiologist,14,White Lily Children Surgical Hospital & Cardiology Clinic,Ahmedabad,Non-Metro,100.0,Practo,1200
Dr. Sharad Jain,Cardiologist,32,Apollo Hospital,Ahmedabad,Non-Metro,80.0,Practo,1500
Dr. Hasit Joshi,Cardiologist,30,Apollo Hospital,Ahmedabad,Non-Metro,100.0,Practo,1500
Dr. Subir Ghosh,Cardiologist,27,Apollo Hospital,Ahmedabad,Non-Metro,100.0,Practo,1500
Dr. Zeeshan Hasan Mansuri,Cardiologist,11,ABC Heart and Skin Care,Ahmedabad,Non-Metro,67.0,Practo,1000
Dr. Tejas M Patel,Cardiologist,36,Apex Heart Institute,Ahmedabad,Non-Metro,71.0,Practo,2200
Dr. Ketan M Vekariya,Cardiologist,16,Zydus Hospital,Ahmedabad,Non-Metro,100.0,Practo,800
Dr. Tarandeep Singh,Cardiologist,20,Apollo Clinic,Chandigarh,Non-Metro,95.0,Practo,600
Dr. Anurag Sharma,Cardiologist,34,Ayu Health Ojas Superspeciality Hospital,Chandigarh,Non-Metro,100.0,Practo,700
Dr. Nirav Kumar,Cardiologist,31,Big Apollo Spectra Multi Speciality Hospital,Patna,Non-Metro,100.0,Practo,850
Dr. Kamlesh Kumar,Cardiologist,14,Big Apollo Spectra Multi Speciality Hospital,Patna,Non-Metro,95.0,Practo,750
Dr. Virendra Prasad Sinha,Cardiologist,41,Balaji Heart Center,Patna,Non-Metro,75.0,Practo,800
Dr. Rajiv Krishna,Cardiologist,19,Heart Clinic,Patna,Non-Metro,67.0,Practo,500
Dr. Pramod Kumar Ojha,Cardiologist,19,Arogya Nilayam,Patna,Non-Metro,75.0,Practo,300
Dr. Sanjeev Kumar Chhaparia,Cardiologist,38,Sanjeev Kumar Chhaparia's Clinic,Patna,Non-Metro,13.0,Practo,700
Dr. Neeraj Kumar,Cardiologist,21,MR HOSPITAL PATNA,Patna,Non-Metro,95.0,Practo,0
Dr. Ram Sagar Roy,Cardiologist,12,MR HOSPITAL PATNA,Patna,Non-Metro,95.0,Practo,0
Dr. Shashi Shekhar,Cardiologist,20,Rajendra Nagar Government Hospital,Patna,Non-Metro,95.0,Practo,0
Dr. Sudhanshu Singh,Cardiologist,10,Jeevak Heart Hospital,Patna,Non-Metro,95.0,Practo,500
Dr. Lt. Col. R P Singh,Cardiologist,22,Aarogyam Superspeciality Heart and Dental Clinic,Lucknow,Non-Metro,96.0,Practo,600
Dr. Amit Kumar Soni,Cardiologist,5,Max Super Speciality Hospital,Lucknow,Non-Metro,95.0,Practo,700
Dr. Gautam Swaroop,Cardiologist,19,Dr. Gautam Swaroop Clinic,Lucknow,Non-Metro,75.0,Practo,1000
Dr. Ambukeshwar Singh,Cardiologist,15,Max Super Speciality Hospital,Lucknow,Non-Metro,86.0,Practo,700
Dr. Mukesh Jaiswal,Cardiologist,14,Max Super Speciality Hospital,Lucknow,Non-Metro,95.0,Practo,700
Dr. Kazmi Danish Hasan,Cardiologist,18,Max Super Speciality Hospital,Lucknow,Non-Metro,95.0,Practo,1000
Dr. Nakul Sinha,Cardiologist,49,Max Super Speciality Hospital,Lucknow,Non-Metro,95.0,Practo,1200
Dr. (Col) Ajay Bahadur,Cardiologist,39,Apollomedics Super Speciality Hospital,Lucknow,Non-Metro,100.0,Practo,700
Dr. Madhukar Kapoor,Cardiologist,53,Dr. Madhukar Kapoor Clinic,Lucknow,Non-Metro,100.0,Practo,400
Dr. R.P. Singh,Cardiologist,19,Joint Replacement & IVF Centre,Lucknow,Non-Metro,83.0,Practo,400
Dr. Yuvaraj Bhosale,Cardiologist,21,Jeevan Jyoti Superspeciality Hospital,Pune,Non-Metro,95.0,Practo,1200
Dr. Mahesh Sampat Kharade,Cardiologist,16,Lifepoint Multispeciality Hospital,Pune,Non-Metro,100.0,Practo,1500
Dr. Akshay Kashid,Cardiologist,16,Wisdom Super Speciality Hospital,Pune,Non-Metro,100.0,Practo,1000
Dr. Abhay Somani,Cardiologist,27,Ruby Hall Clinic,Pune,Non-Metro,92.0,Practo,1200
Dr. Rajesh Kaushish,Cardiologist,30,Ruby Hall Clinic,Pune,Non-Metro,95.0,Practo,1200
Dr. Bhushan Bari,Cardiologist,23,Ruby Hall Clinic,Pune,Non-Metro,100.0,Practo,900
Dr. Sonam Shinde,Cardiologist,18,Medicover Hospital,Pune,Non-Metro,77.0,Practo,1000
Dr. Sujit Sawadatkar,Cardiologist,22,Noble Hospital,Pune,Non-Metro,100.0,Practo,950
Dr. Prashant Sadashiv Shinde,Cardiologist,20,Medicover Hospital,Pune,Non-Metro,100.0,Practo,1000
Dr. Gaurav Ganeshwala,Cardiologist,19,Ruby Hall Clinic,Pune,Non-Metro,95.0,Practo,900
Dr. Ravi Kumar GurugubeIli,Cardiologist,23,Medicover Hospitals ,Visakhapatnam,Non-Metro,67.0,Practo,800
Dr. Srikanth Bodepudi,Cardiologist,20,Medicover Hospitals ,Visakhapatnam,Non-Metro,100.0,Practo,800
Dr. Hemanta Kumar Behera,Cardiologist,30,Medicover Hospitals ,Visakhapatnam,Non-Metro,100.0,Practo,800
Dr. Narasimha Raju Challapalli,Cardiologist,20,Medicover Hospitals ,Visakhapatnam,Non-Metro,100.0,Practo,500
Dr. Archana Behera,Cardiologist,30,Medicover Hospitals ,Visakhapatnam,Non-Metro,95.0,Practo,800
Dr. K P Ranganayakulu,Cardiologist,22,Medicover Hospitals ,Visakhapatnam,Non-Metro,100.0,Practo,800
Dr. P Siva Satya Subramanyam,Cardiologist,19,"OMNI Hospitals, Visakhapatnam",Visakhapatnam,Non-Metro,95.0,Practo,750
Dr. Darimireddi Sivakumar,Cardiologist,17,Medicover Hospitals ,Visakhapatnam,Non-Metro,95.0,Practo,800
Dr. A Suresh,Cardiologist,25,Medicover Hospitals ,Visakhapatnam,Non-Metro,100.0,Practo,800
Dr. Srikara Samir Nandan Siddamsetty,Cardiologist,17,Medicover Hospitals ,Visakhapatnam,Non-Metro,100.0,Practo,800
Dr. Chandrashekhar Reddy,Dentist,27,Sri Sai Dental Hospital,Hyderabad,Metro,96.0,Practo,400
Dr. M. S. Sushma Susik,Dentist,35,Brite Smiles Dental Clinic,Hyderabad,Metro,98.0,Practo,300
Dr. Pallavi G Pawar,Dentist,22,Sri Sai Dental Hospital,Hyderabad,Metro,80.0,Practo,400
Dr. Mohan Rayapudi,Dentist,16,MohanDental Clinic,Hyderabad,Metro,100.0,Practo,500
Dr. Ashok,Dentist,19,Maurya Dental Specialities,Hyderabad,Metro,98.0,Practo,300
Dr. B.Srikanth,Dentist,16,Akshaya Dental Hospital And Implant  Center,Hyderabad,Metro,98.0,Practo,300
Dr. B Vishnu Chaitanya Goud,Dentist,16,Ethos Dental,Hyderabad,Metro,100.0,Practo,400
Dr. Jayarekha,Dentist,16,MohanDental Clinic,Hyderabad,Metro,100.0,Practo,500
Dr. Syed Saood Hasan Razvi,Dentist,20,Denta'Glo Dental Clinic & Implant Centre,Hyderabad,Metro,98.0,Practo,400
Dr. Keerti D Pratap,Dentist,27,Krutika Dental Clinic,Hyderabad,Metro,100.0,Practo,300
Dr. Joyita Das Choudhury,Dentist,5,Horizon Aesthetics,Kolkata,Metro,100.0,Practo,500
Dr. Sayan Roy,Dentist,8,N G Medicare & Calcutta Hope Infertility Clinic,Kolkata,Metro,100.0,Practo,400
Dr. Ritoban Saha Bhowmick,Dentist,12,Sl Artemis Medical Centre Pvt Ltd,Kolkata,Metro,95.0,Practo,1200
Dr. Shamik Gope,Dentist,19,Samaritan Clinic Private Limited,Kolkata,Metro,100.0,Practo,1500
Dr. B K Biswas,Dentist,40,Avinash Dental Clinic ,Kolkata,Metro,67.0,Practo,1000
Dr. Arimeeta Bhadra,Dentist,11,Teeth Care Multispeciality Dental Clinic,Kolkata,Metro,97.0,Practo,400
Dr. Sawon Barman,Dentist,29,Smile Signature Dental Clinic,Kolkata,Metro,90.0,Practo,500
Dr. Shatarupa Saha,Dentist,13,Dentaris,Kolkata,Metro,98.0,Practo,500
Dr. Pallavi Mittal,Dentist,17,Holistic Ent And Dental Superspeciality Clinic,Kolkata,Metro,99.0,Practo,500
Dr. Nikita Parasrampuria,Dentist,13,Smile Studio Dental Clinic,Kolkata,Metro,93.0,Practo,300
Dr. Kiruthika Asokan,Dentist,22,Family Clinic,Chennai,Metro,100.0,Practo,450
Dr. M.Srikanth,Dentist,25,Smile Solutions Family Dentistry,Chennai,Metro,98.0,Practo,400
Dr. B J Barun,Dentist,22,Dr. Barun's Multispeciality Dental Centre,Chennai,Metro,98.0,Practo,300
Dr. K.Senthil Kumar,Dentist,31,Tooth N Care Dental Clinic,Chennai,Metro,99.0,Practo,200
Dr. Vesta Enid Lydia,Dentist,14,Stunning Smiles Dental,Chennai,Metro,99.0,Practo,300
Dr. Haritha U,Dentist,8,Vishnu Dental Clinic,Chennai,Metro,100.0,Practo,100
Dr. Shobana Thevi,Dentist,10,Elite Dental Care,Chennai,Metro,100.0,Practo,300
Dr. Amruth Ganesh,Dentist,10,Dr Amruths Precision Dental Care,Chennai,Metro,95.0,Practo,400
Dr. Deepak Raj,Dentist,17,Raj Implant And Orthodontic Center,Chennai,Metro,99.0,Practo,200
Dr. T. Sivasankari,Dentist,23,Harsini's Dental Clinic,Chennai,Metro,88.0,Practo,500
Dr. Dheeraj Setia,Dentist,29,The Dental Roots,Delhi,Metro,94.0,Practo,500
Dr. Geetanjali Marya,Dentist,39,Marya's Dental and Implant Centre,Delhi,Metro,97.0,Practo,800
Dr. Ajay Kumar Singh,Dentist,18,Tirupati Dental,Delhi,Metro,100.0,Practo,700
Dr. Karan Marya,Dentist,43,Marya's Dental and Implant Centre,Delhi,Metro,96.0,Practo,800
Dr. Sourabh Nagpal,Dentist,21,Matrix Dental & Skin Lounge,Delhi,Metro,98.0,Practo,500
Dr. Pankaj Rooprai,Dentist,33,Dentistry Futura & Implant Centre,Delhi,Metro,87.0,Practo,500
Dr. Kapil Garg,Dentist,21,City Dental,Delhi,Metro,98.0,Practo,300
Dr. Urvashi Rooprai,Dentist,28,Dentistry Futura & Implant Centre,Delhi,Metro,95.0,Practo,500
Dr. Amit Baranwal,Dentist,27,Dental Cure Dental N Implant Centre,Delhi,Metro,96.0,Practo,500
Dr. Sumit Solanki,Dentist,17,Artize Clinic,Delhi,Metro,100.0,Practo,500
Dr. Venkatesh M J,Dentist,32,All Care Dental Centre ,Bangalore,Metro,86.0,Practo,300
Dr. K A Mohan,Dentist,57,Dental De Care,Bangalore,Metro,93.0,Practo,500
Dr. D N Naveen,Dentist,32,Vignesh Dental Speciality Centre,Bangalore,Metro,98.0,Practo,500
Dr. Raghavendra K,Dentist,29,Raghav Dental Care Centre,Bangalore,Metro,94.0,Practo,500
Dr. Raju Srinivas,Dentist,30,Dental Health Care Clinic,Bangalore,Metro,95.0,Practo,400
Dr. Ramya,Dentist,23,Ivory Dental,Bangalore,Metro,98.0,Practo,400
Dr. Deepthi B C,Dentist,18,Wisden Clinics,Bangalore,Metro,98.0,Practo,300
Dr. Kim Upadhyay,Dentist,19,Kosmodent Dental Studio and Implant Centre,Bangalore,Metro,96.0,Practo,500
Dr. Lahari,Dentist,19,Leo Dental  Invisalign Aligners and Braces,Bangalore,Metro,98.0,Practo,500
Dr. Sharada P Gowda,Dentist,17,American Dental Practices,Bangalore,Metro,98.0,Practo,500
Dr. Sanket Mehta,Dentist,21,Smile Studio Dental Clinic,Mumbai,Metro,99.0,Practo,500
Dr. Manish Kachhara,Dentist,24,Dental Solutions,Mumbai,Metro,98.0,Practo,500
Dr. Manoj Bodhwani,Dentist,20,Tooth Avenue,Mumbai,Metro,98.0,Practo,500
Dr. Ruupali Wanckhede,Dentist,28,Smile Edge Oral & Dental Health Care Clinic,Mumbai,Metro,98.0,Practo,500
Dr. Varoon Jain,Dentist,19,Smile Sutra  Multi Speciality Dental Clinic,Mumbai,Metro,95.0,Practo,500
Dr. Ameya Manish Sonawane,Dentist,16,Millennium Smile Dental Clinic,Mumbai,Metro,100.0,Practo,500
Dr. Reshma Phulwar,Dentist,30,32 Pearls Dental Clinic,Mumbai,Metro,95.0,Practo,500
Dr. Bhavin Shah,Dentist,17,American Dental Practices,Mumbai,Metro,99.0,Practo,500
Dr. Amit Chavan,Dentist,18,Smile Again Dental Clinic,Mumbai,Metro,99.0,Practo,500
Dr. Dhruti Raut Chavan,Dentist,17,Smile Again Dental Clinic,Mumbai,Metro,98.0,Practo,500
Dr. Alap Shah,Dentist,22,Ivories Laser Dental Clinic & Dental Implant Center,Ahmedabad,Non-Metro,98.0,Practo,300
Dr. Krupa Vaidya,Dentist,28,Dhwanil Dental Clinic,Ahmedabad,Non-Metro,99.0,Practo,300
Dr. Ankitkumar M Bhagora,Dentist,14,Karnavati Dental Care,Ahmedabad,Non-Metro,100.0,Practo,300
Dr. Kinjal Shah,Dentist,22,Ivories Laser Dental Clinic & Dental Implant Center,Ahmedabad,Non-Metro,94.0,Practo,300
Dr. Nisha sheth,Dentist,16,Ora Dental Care,Ahmedabad,Non-Metro,100.0,Practo,300
Dr. Manish Shah,Dentist,29,Aashu Dental and Multispeciality Clinic,Ahmedabad,Non-Metro,100.0,Practo,300
Dr. Komal Thakkar,Dentist,14,Total 360 Dental Care Clinic,Ahmedabad,Non-Metro,98.0,Practo,800
Dr. Ujjawal Soni,Dentist,23,Denta Sculpt Dental Clinic,Ahmedabad,Non-Metro,100.0,Practo,400
Dr. Chaitali Parikh,Dentist,12,House Of Dontics,Ahmedabad,Non-Metro,100.0,Practo,200
Dr. Hemang Zala,Dentist,26,Dr. Hemang Zala Multi Speciality & Cosmetic Dental Hospital,Ahmedabad,Non-Metro,96.0,Practo,500
Dr. Nakul Singla,Dentist,15,Pristine Dental And Facial Care,Chandigarh,Non-Metro,95.0,Practo,250
Dr. Vijaylakshmi Singla,Dentist,11,Pristine Dental And Facial Care,Chandigarh,Non-Metro,100.0,Practo,250
Dr. Manisha Kochar,Dentist,29,Dr Kochar’s House of Smiles,Chandigarh,Non-Metro,82.0,Practo,500
Dr. Parag Kochar,Dentist,28,Dr Kochar’s House of Smiles,Chandigarh,Non-Metro,97.0,Practo,1000
Dr. Anshu Gupta,Dentist,27,Advanced Dental Care Centre,Chandigarh,Non-Metro,94.0,Practo,400
Dr. Manpreet S. Walia,Dentist,29,Life Care Dental and Implant Centre,Chandigarh,Non-Metro,98.0,Practo,500
Dr. Ved P Kapoor,Dentist,56,Kapoor Dental Clinic,Chandigarh,Non-Metro,97.0,Practo,300
Dr. Arunima Chandra,Dentist,13,Bedi Hospital,Chandigarh,Non-Metro,100.0,Practo,800
Dr. Bhavna Sharma,Dentist,15,Sanjeevani Multispeclity Hospital,Chandigarh,Non-Metro,100.0,Practo,400
Dr. Jasbrinder Singh Teja,Dentist,29,Dr Teja's Dental Practice,Chandigarh,Non-Metro,100.0,Practo,500
Dr. Abhishek Kumar,Dentist,21,Magadh Oro Dental Implant & Orthodontic Clinic,Patna,Non-Metro,97.0,Practo,500
Dr. Indrajit Sharan,Dentist,14,Dr. Sharan's Dental Solutions,Patna,Non-Metro,100.0,Practo,500
Dr. Shikha Rani,Dentist,11,Align Dental And Braces Superspeciality Clinic,Patna,Non-Metro,95.0,Practo,300
Dr. Nishant Kumar Tewari,Dentist,17,Kiran Multispeciality Dental Clinic & Maxillofacial Surgery Centre,Patna,Non-Metro,100.0,Practo,200
Dr. Archana Rani,Dentist,19,Magadh Oro Dental Implant & Orthodontic Clinic,Patna,Non-Metro,97.0,Practo,500
Dr. Manvi Singh,Dentist,16,Harihar Dental Clinic,Patna,Non-Metro,97.0,Practo,300
Dr. Asad Haider,Dentist,12,Ours Dental Clinic,Patna,Non-Metro,83.0,Practo,200
Dr. Rakshanda,Dentist,9,Sinha Dental Clinic,Patna,Non-Metro,97.0,Practo,300
Dr. Shashikant Gourav,Dentist,5,Shreeji Dentoverse,Patna,Non-Metro,100.0,Practo,500
Dr. Lav Kumar,Dentist,19,Magadh Oro Dental Implant & Orthodontic Clinic,Patna,Non-Metro,100.0,Practo,500
Dr. Ananya Rawat,Dentist,9,Dr. Ananya's Dental Care,Lucknow,Non-Metro,95.0,Practo,300
Dr. Vikas Kumar,Dentist,19,Pushpa Dental Speciality Center,Lucknow,Non-Metro,100.0,Practo,500
Dr. Preeti Singh,Dentist,16,Pushpa Dental Speciality Center,Lucknow,Non-Metro,99.0,Practo,500
Dr. Madhulika Saxena,Dentist,9,SIPS Super Specialty hospital,Lucknow,Non-Metro,95.0,Practo,600
Dr. Geeta Verma Gupta,Dentist,20,Hemang Dental Orthodontic & Implant Clinic,Lucknow,Non-Metro,95.0,Practo,300
Dr. Ankit Bahal,Dentist,23,SmyleXL Dental Clinic,Lucknow,Non-Metro,99.0,Practo,500
Dr. Gaurav Bhalla,Dentist,20,Tooth n Implants,Lucknow,Non-Metro,100.0,Practo,400
Dr. Abhishek  S  Verma,Dentist,21,Calgary Dental Clinic ,Lucknow,Non-Metro,100.0,Practo,300
Dr. Maninder Saluja,Dentist,15,Impressions Dental Centre,Lucknow,Non-Metro,97.0,Practo,500
Dr. Nandini Singh,Dentist,17,The Bright Arch Multi Speciality Dental Studio,Lucknow,Non-Metro,98.0,Practo,500
Dr. Amol Thorat Dinkar,Dentist,26,Dr. Ratnika's ,Pune,Non-Metro,85.0,Practo,300
Dr. Sandeep Bhirud,Dentist,37,Dr. Bhirud's Sweet Smile Dental Clinic,Pune,Non-Metro,98.0,Practo,500
Dr. Jyoti Bhirud,Dentist,31,Dr. Bhirud's Sweet Smile Dental Clinic,Pune,Non-Metro,98.0,Practo,500
Dr. Rahul Kathariya,Dentist,21,Dental Galaxy,Pune,Non-Metro,96.0,Practo,400
Dr. Rohit Jethale,Dentist,17,Dentalist ,Pune,Non-Metro,100.0,Practo,199
Dr. Mamta,Dentist,16,Dentalist ,Pune,Non-Metro,93.0,Practo,199
Dr. Apoorva Sahu,Dentist,16,Dr Sahu’s Dental & Orthodontic Care,Pune,Non-Metro,100.0,Practo,300
Dr. Syed Shibli Quazi,Dentist,16,Dr. Ratnika's ,Pune,Non-Metro,98.0,Practo,300
Dr. Abhinav Misuriya,Dentist,21,Saroj Dental Care Centre,Pune,Non-Metro,97.0,Practo,400
Dr. Irshad Chaudary,Dentist,16,Dr. Ratnika's ,Pune,Non-Metro,94.0,Practo,300
Dr. A Sandhya Kishore,Dentist,17,Sandhya Dental Clinic,Visakhapatnam,Non-Metro,100.0,Practo,100
Dr. Earle Santosh Kumar,Dentist,13,SMYLE XL Dental clinic,Visakhapatnam,Non-Metro,99.0,Practo,200
Dr. Apoorva,Dentist,9,Tiny Teeth Clinic,Visakhapatnam,Non-Metro,100.0,Practo,500
Dr. V Vardhan,Dentist,10,Perfect Dental Care,Visakhapatnam,Non-Metro,100.0,Practo,300
Dr. K Anusha,Dentist,12,Partha Dental  Skin Hair,Visakhapatnam,Non-Metro,100.0,Practo,0
Dr. N Satish Varma,Dentist,29,Smiles Dental Clinic,Visakhapatnam,Non-Metro,99.0,Practo,200
Dr. Srinivas Manohar,Dentist,11,Manohar Advanced Dental Care,Visakhapatnam,Non-Metro,100.0,Practo,300
Dr. Adasumalli  Sridhar,Dentist,10,Partha Dental  Skin Hair,Visakhapatnam,Non-Metro,100.0,Practo,0
Dr. Muppidi Surya Mani Raj,Dentist,11,Partha Dental  Skin Hair,Visakhapatnam,Non-Metro,100.0,Practo,0
Dr. Suneeta Veeramachaneni,Dentist,25,Krest Dental Care,Visakhapatnam,Non-Metro,99.0,Practo,500
Dr. Vijay Kumar Lingapuram,Dermatologist,18,Sikara Clinics,Hyderabad,Metro,100.0,Practo,1000
Dr. Rathnakaram Leelavathi,Dermatologist,27,JJ Wellness Clinic,Hyderabad,Metro,33.0,Practo,500
Dr. Navya Chowdary,Dermatologist,16,Sasha Luxe Dermatology and Cosmetic Surgery Centre,Hyderabad,Metro,90.0,Practo,750
Dr. Neelima Ravipati,Dermatologist,15,Cradle Of Youth Your Personal Dermatologist,Hyderabad,Metro,98.0,Practo,700
Dr. Archana S A,Dermatologist,12,Tricare Skin Hair Aesthetics,Hyderabad,Metro,100.0,Practo,700
Dr. Sandeep G.S.S,Dermatologist,15,Saanvi's Laser Skin and Hair Clinic,Hyderabad,Metro,100.0,Practo,1200
Dr. Sandhya Lakkireddy,Dermatologist,21,Srikara Hospitals,Hyderabad,Metro,92.0,Practo,800
